design_peak_wavelength_nm,n_layers,outer_layer,diameter_nm,eta_C,eta_L,eta_Y,fraction_collected_max,Ccollected_max_m2,hex,L,a,b,C,hue_deg
600.0,7,A,1210.19323097,0.398438814425,0.579067704969,0.724341433366,0.00764805856404,2.50077335821e-14,#8FA3E8,67.9834540813,10.0398602676,-37.2499181934,38.5792068297,285.084314876
500.0,9,B,1305.42319493,0.372680855567,0.654101279349,0.66872187032,0.00929606606814,3.53090826989e-14,#87C0EC,75.5938775821,-7.12602747742,-27.8068236847,28.7053951557,255.62619866
600.0,11,A,1954.16237329,0.358359098761,0.718764440953,0.738342155588,0.0188317381935,1.25652016109e-13,#80B7E1,72.3353195039,-7.03525080835,-26.5830781118,27.4982689607,255.176433304
450.0,11,B,1443.73375819,0.355700919385,0.672721616641,0.721657783802,0.0159093654845,5.19824423676e-14,#86B5E3,72.206467379,-4.18930645783,-27.6809346946,27.9961503454,261.394012963
550.0,9,A,1444.68909656,0.355541929478,0.589094881221,0.708087839383,0.0141226879256,4.41112852492e-14,#8CB0E4,71.2300897297,0.697892183249,-29.8214586261,29.8296236666,271.340611128
600.0,9,A,1582.17780213,0.353795158074,0.664110849594,0.741158551,0.0194040797338,6.47003748917e-14,#85AFDF,70.3557264243,-1.87500109605,-28.5709233595,28.6323818556,266.245279881
550.0,11,A,1784.36253562,0.343948434553,0.498498110916,0.653415863267,0.0191549365466,8.93163776848e-14,#A1ADEB,71.941132524,10.2073939394,-32.6794194791,34.2364622665,287.346158241
500.0,11,B,1612.79579502,0.332681149031,0.552573592949,0.598299316946,0.0182587121449,6.64043509829e-14,#9AC5F0,78.0326893317,-3.77590173291,-26.0426660532,26.3149746162,261.750226547
450.0,9,B,1168.59486361,0.326711016501,0.569997253414,0.722538840359,0.00924289861555,3.00375674423e-14,#98A0DC,67.3915978046,11.1086760631,-31.5637476577,33.4615129675,289.389220822
500.0,9,A,1307.24390589,0.315746256083,0.539035772705,0.683209835304,0.0092071418387,3.18599440739e-14,#9BACE2,71.0481017774,6.26921809107,-28.7920278977,29.4666585472,282.283929242
